name, ,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10
stopbgm,,,,,,,,,,,,
fadeoutblack,1.5,,,,,,,,,,,
endwait,,,,,,,,,,,,
playbgm,/download/sound/bgm/bgm005.mp3,0.5,,,,,,,,,,
name,,,,,,,,,,,,
msg,0,,,,,,,,,,,
endwait,,,,,,,,,,,,
bg,color_0_0_0,1,255,,,,,,,,,
endwait,,,,,,,,,,,,
msg,0,<size=31><outline width=2 color=black>和同伴們在一起休整，\n各自在幻夢境中發現的海灘上隨心所欲地生活。</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
msg,0,<size=31><outline width=2 color=black>但是，該說布麗吉特還是老樣子嗎，不合群的她一個人坐在岩場外圍眺望著大海。</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
msg,0,<size=31><outline width=2 color=black>我想著這是能和布麗吉特一起的機會，就過去打了招呼……</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
name,<size=27><outline width=2 color=black>布麗吉特・芭德薇</outline></size>,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_01.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「……真是的，麻煩讓我一個人靜靜吧。\n你在的話准沒有什麼好事……」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_02.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「哼，說不要警惕是不可能的。\n你讓我有過很多非常羞恥的回憶……」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_03.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「啊、真是……一想到就讓人火大……\n好了，你給我去那邊」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_04.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「……這樣啊。你要是不走的話，我走。\n在我氣消之前，你就一直站在那裏好了」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_05.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「那麼——呀！？」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
name,,,,,,,,,,,,
msg,0,<size=31><outline width=2 color=black>背朝著我正要離開的布麗吉特，不小心平衡失控，\n在濕潤的岩石上滑倒了</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
name,<size=27><outline width=2 color=black>布麗吉特・芭德薇</outline></size>,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_06.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「啊……」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
name,,,,,,,,,,,,
msg,0,<size=31><outline width=2 color=black>我慌忙抱住她……感覺緊貼著肌膚的柔軟觸感，\n下體自然產生了反應——。</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
msg,0,<size=31><outline width=2 color=black>……。</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
msg,0,<size=31><outline width=2 color=black>…………。</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
msg,0,<size=31><outline width=2 color=black>………………。</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
bg,download/character/100206/adv/image/201.jpg,0.5,255
endwait,
name,<size=27><outline width=2 color=black>布麗吉特・芭德薇</outline></size>,,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「喂、喂……你幹什麼呢！\n突然在這裏……要是被人看見了怎麼辦！？」</outline></size>,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_07.mp3,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_08.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「呀、嗯嗯嗯……！　住、住手啦笨蛋……！\n咿唔、嗯咕~、呼~……嗯、嗯嗯~……不要摩擦那裏……」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「真、真是的……真的快停手啦……啊、呀啊、嗯……\n我說，你有在聽嗎——嗯、啊……」</outline></size>,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_09.mp3,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_10.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「啊……咕唔、嗯……嗯嗯……笨、笨蛋。\n你怎麼可以擅自摸那裏……」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_11.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「呀，我說……不要把奇怪的東西貼過來……」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_12.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「你、說什麼呢……什麼濕了……這只是……汗水而已啦。\n不要想歪了……嗯……」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_13.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「好啦，快放開我……現在還可以原諒你……嗯、啊，\n喂……你怎麼還抵住了……呀、不……嗯、咕唔、唔嗯嗯！」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
bg,download/character/100206/adv/image/203.jpg,0.5,255
endwait,
msg,1,<size=31><outline width=2 color=black>「呼、啊啊、啊……嗯嗯……笨、蛋……竟然還、插進來……！\n啊、啊！　一口氣頂進來了……！」</outline></size>,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_14.mp3,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_15.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「突然這麼……呼、啊、啊！　嗯咕唔唔、啊、啊！\n好激烈……呀……這樣的……！」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
bg,download/character/100206/adv/image/202.jpg,0.5,255
endwait,
playvoice,1,download/adv/voice/character/1002/adu100206_02_16.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「你說什麼呢……嗯、呼唔……我才沒有，\n啊、啊……嗯咕、唔唔……感到、興奮……」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
playvoice,1,download/adv/voice/character/1002/adu100206_02_17.mp3,,,,,,,,,,
msg,1,<size=31><outline width=2 color=black>「那裏、一緊一緊的……嗯、啊……哈、啊~、啊啊~……！\n才不是因為覺得舒服、或被插得開心……！」</outline></size>,,,,,,,,,,
clickwait,,,,,,,,,,,,
