name,
stopbgm,,,,,,,,,,,
fadeinblack,0,,,,,,,,,,
endwait,,,,,,,,,,,
sprite,download/bg/bg_11420300.jpg,bg,0,0,2.5,0
endwait,,,,,,,,,,,
fadeoutblack,1.5,,,,,,,,,,
endwait,,,,,,,,,,,
playbgm,/download/sound/bgm/bgm096.mp3,0,
endwait,,,,,,,,,,,
anm,move,bg,-600_0,5,0
clickwait,,,,,,,,,,,
spriteoff,all,1
endwait,,,,,,,,,,,
wait,1
endwait,,,,,,,,,,,
bg,download/bg/bg_1170300.jpg,1,255
endwait


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0.5,,,,
endwait,,,,,,,,,,,
name,<outline width=2 color=black>诺恩</outline>,
msg,0,<outline width=2 color=black>「哥哥，醒了吗？」</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:smile,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>「在梦里晕倒，还真是挺有一手的呢」</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>「嘛，这都是因为特尔蒂亚强行移交身体主导权的反作用啦」</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:anger,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>「真是的，要再温柔点才行啊。\n要是哥哥出什么事可怎么办」</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>「话说回来，芙拉也做得够绝的。\n没想到她会想出那种事……真是吓了我一跳」</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>「就连哥哥也加入了进来……更何况，\n特尔蒂亚竟然答应了那两个人的愿望」</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
msg,0,<outline width=2 color=black>「真是个麻烦的兄妹啊」</outline>,,,,,,,,,
clickwait,,,,,,,,,,,


spriteatlas,download/character/103515/adv/atlas/stand_a,body:normal,norn,0,-120,0.5,0,,,,
